time,frequency,confidence
0.000,44.106,0.000
0.010,44.553,0.000
0.020,45.278,0.001
0.030,45.625,0.002
0.040,46.263,0.004
0.050,46.963,0.006
0.060,47.423,0.008
0.070,48.022,0.011
0.080,48.199,0.014
0.090,48.624,0.018
0.100,48.932,0.021
0.110,49.088,0.025
0.120,49.286,0.030
0.130,49.489,0.034
0.140,49.431,0.038
0.150,38.891,0.043
0.160,39.096,0.049
0.170,39.649,0.054
0.180,40.459,0.060
0.190,41.868,0.066
0.200,44.805,0.072
0.210,46.251,0.077
0.220,47.189,0.083
0.230,48.006,0.089
0.240,48.562,0.096
0.250,49.309,0.102
0.260,42.577,0.108
0.270,45.499,0.114
0.280,47.233,0.121
0.290,49.017,0.127
0.300,49.975,0.133
0.310,50.818,0.139
0.320,48.037,0.145
0.330,49.972,0.151
0.340,51.409,0.158
0.350,49.927,0.164
0.360,48.159,0.171
0.370,52.014,0.178
0.380,73.291,0.186
0.390,140.577,0.193
0.400,234.312,0.200
0.410,224.927,0.208
0.420,229.241,0.215
0.430,228.661,0.223
0.440,118.808,0.230
0.450,118.807,0.238
0.460,118.807,0.245
0.470,116.541,0.252
0.480,116.541,0.259
0.490,116.541,0.266
0.500,116.541,0.273
0.510,70.614,0.279
0.520,70.643,0.286
0.530,38.149,0.292
0.540,49.952,0.299
0.550,50.054,0.305
0.560,1629.540,0.310
0.570,1629.518,0.332
0.580,110.000,0.321
0.590,1629.539,0.327
0.600,48.999,0.332
0.610,48.999,0.337
0.620,58.270,0.341
0.630,58.270,0.346
0.640,58.270,0.350
0.650,56.043,0.354
0.660,1396.909,0.358
0.670,57.337,0.362
0.680,51.279,0.366
0.690,50.923,0.369
0.700,50.923,0.373
0.710,49.970,0.376
0.720,57.159,0.379
0.730,118.807,0.382
0.740,121.116,0.385
0.750,133.272,0.409
0.760,135.948,0.472
0.770,135.948,0.531
0.780,135.949,0.585
0.790,135.948,0.632
0.800,135.158,0.672
0.810,133.360,0.708
0.820,133.356,0.739
0.830,133.387,0.766
0.840,135.948,0.791
0.850,136.372,0.812
0.860,138.898,0.830
0.870,141.286,0.846
0.880,141.189,0.862
0.890,138.602,0.876
0.900,135.948,0.889
0.910,135.948,0.900
0.920,135.948,0.909
0.930,133.356,0.916
0.940,133.356,0.923
0.950,133.356,0.927
0.960,130.813,0.930
0.970,130.813,0.932
0.980,130.813,0.933
0.990,128.318,0.933
1.000,128.318,0.932
1.010,128.318,0.930
1.020,128.318,0.927
1.030,128.318,0.923
1.040,128.318,0.919
1.050,128.318,0.914
1.060,128.318,0.909
1.070,128.318,0.902
1.080,128.318,0.895
1.090,128.259,0.887
1.100,128.318,0.878
1.110,130.813,0.869
1.120,130.813,0.858
1.130,130.813,0.854
1.140,133.356,0.866
1.150,135.948,0.875
1.160,135.948,0.881
1.170,135.948,0.890
1.180,135.948,0.901
1.190,135.948,0.911
1.200,135.948,0.919
1.210,135.948,0.925
1.220,135.948,0.930
1.230,135.948,0.932
1.240,135.948,0.933
1.250,135.948,0.933
1.260,138.591,0.931
1.270,135.948,0.928
1.280,135.948,0.924
1.290,135.948,0.918
1.300,135.951,0.911
1.310,138.591,0.902
1.320,138.591,0.892
1.330,141.284,0.881
1.340,145.884,0.868
1.350,146.832,0.855
1.360,149.530,0.840
1.370,149.687,0.848
1.380,149.687,0.855
1.390,152.597,0.862
1.400,152.597,0.866
1.410,152.597,0.870
1.420,152.597,0.871
1.430,152.597,0.872
1.440,152.597,0.871
1.450,149.687,0.870
1.460,149.687,0.867
1.470,149.687,0.863
1.480,149.687,0.857
1.490,149.687,0.851
1.500,149.687,0.842
1.510,149.687,0.833
1.520,149.687,0.822
1.530,149.687,0.809
1.540,149.687,0.795
1.550,149.687,0.779
1.560,149.686,0.761
1.570,149.517,0.741
1.580,184.997,0.774
1.590,195.998,0.806
1.600,199.497,0.835
1.610,199.808,0.858
1.620,199.808,0.878
1.630,197.653,0.893
1.640,199.048,0.908
1.650,195.998,0.923
1.660,195.998,0.936
1.670,195.998,0.945
1.680,192.295,0.952
1.690,192.260,0.955
1.700,192.260,0.956
1.710,192.260,0.953
1.720,192.260,0.952
1.730,192.254,0.959
1.740,188.594,0.964
1.750,188.594,0.968
1.760,188.594,0.970
1.770,188.576,0.970
1.780,184.998,0.970
1.790,188.594,0.968
1.800,188.452,0.966
1.810,188.594,0.962
1.820,188.594,0.957
1.830,188.594,0.950
1.840,188.594,0.941
1.850,188.594,0.941
1.860,192.260,0.949
1.870,192.260,0.955
1.880,192.260,0.958
1.890,192.260,0.961
1.900,192.260,0.962
1.910,192.260,0.962
1.920,192.260,0.963
1.930,192.260,0.963
1.940,192.260,0.964
1.950,192.260,0.964
1.960,192.260,0.964
1.970,192.260,0.964
1.980,192.260,0.964
1.990,192.260,0.964
2.000,192.260,0.963
2.010,192.260,0.962
2.020,188.594,0.961
2.030,188.594,0.961
2.040,188.658,0.960
2.050,192.260,0.959
2.060,192.260,0.958
2.070,192.260,0.957
2.080,192.260,0.954
2.090,192.260,0.951
2.100,192.260,0.946
2.110,192.260,0.939
2.120,192.564,0.934
2.130,195.998,0.940
2.140,195.998,0.945
2.150,195.998,0.948
2.160,195.998,0.950
2.170,195.998,0.950
2.180,195.998,0.949
2.190,195.998,0.946
2.200,195.998,0.942
2.210,195.998,0.936
2.220,195.998,0.929
2.230,195.998,0.921
2.240,195.998,0.910
2.250,195.998,0.897
2.260,195.998,0.883
2.270,193.219,0.866
2.280,192.260,0.846
2.290,188.594,0.824
2.300,184.997,0.799
2.310,184.997,0.771
2.320,184.983,0.739
2.330,184.997,0.703
2.340,184.997,0.664
2.350,184.669,0.626
2.360,184.997,0.584
2.370,181.522,0.561
2.380,178.009,0.553
2.390,178.038,0.552
2.400,182.710,0.557
2.410,179.274,0.563
2.420,178.009,0.568
2.430,181.469,0.572
2.440,164.814,0.577
2.450,166.947,0.581
2.460,168.018,0.586
2.470,171.040,0.590
2.480,170.843,0.593
2.490,174.595,0.597
2.500,168.601,0.600
2.510,168.018,0.604
2.520,168.018,0.607
2.530,168.018,0.609
2.540,174.502,0.612
2.550,168.018,0.615
2.560,168.018,0.617
2.570,181.380,0.619
2.580,179.877,0.621
2.590,181.330,0.623
2.600,57.157,0.625
2.610,58.270,0.627
2.620,118.807,0.629
2.630,118.836,0.630
2.640,120.589,0.632
2.650,118.807,0.640
2.660,118.807,0.671
2.670,118.807,0.699
2.680,120.296,0.724
2.690,121.116,0.746
2.700,123.455,0.766
2.710,123.471,0.783
2.720,123.471,0.798
2.730,119.124,0.811
2.740,121.116,0.822
2.750,121.116,0.832
2.760,121.116,0.841
2.770,121.116,0.849
2.780,121.116,0.855
2.790,118.807,0.860
2.800,118.807,0.864
2.810,118.807,0.866
2.820,118.807,0.867
2.830,118.807,0.867
2.840,121.116,0.866
2.850,121.116,0.864
2.860,121.116,0.861
2.870,121.116,0.856
2.880,123.432,0.850
2.890,123.607,0.842
2.900,128.317,0.845
2.910,128.318,0.849
2.920,130.813,0.855
2.930,130.813,0.864
2.940,133.356,0.872
2.950,133.356,0.878
2.960,135.590,0.882
2.970,135.948,0.884
2.980,135.948,0.884
2.990,135.948,0.883
3.000,135.948,0.883
3.010,135.948,0.903
3.020,135.948,0.914
3.030,138.591,0.917
3.040,138.591,0.913
3.050,138.591,0.904
3.060,138.591,0.888
3.070,138.591,0.878
3.080,138.591,0.871
3.090,138.591,0.862
3.100,138.591,0.852
3.110,138.591,0.840
3.120,135.951,0.826
3.130,138.591,0.811
3.140,138.591,0.793
3.150,423.379,0.774
3.160,441.651,0.753
3.170,423.379,0.731
3.180,168.018,0.762
3.190,168.018,0.790
3.200,168.019,0.814
3.210,171.352,0.834
3.220,174.614,0.851
3.230,174.614,0.865
3.240,174.614,0.876
3.250,174.614,0.884
3.260,174.614,0.889
3.270,174.614,0.892
3.280,174.614,0.894
3.290,174.614,0.895
3.300,174.614,0.893
3.310,171.284,0.889
3.320,171.284,0.883
3.330,171.284,0.874
3.340,171.284,0.863
3.350,171.284,0.850
3.360,171.284,0.834
3.370,171.284,0.816
3.380,174.614,0.794
3.390,195.998,0.771
3.400,200.699,0.766
3.410,199.808,0.795
3.420,207.652,0.820
3.430,207.652,0.845
3.440,211.689,0.865
3.450,215.805,0.889
3.460,220.000,0.909
3.470,224.277,0.924
3.480,228.637,0.937
3.490,228.637,0.951
3.500,233.082,0.962
3.510,233.082,0.969
3.520,233.082,0.972
3.530,233.082,0.972
3.540,233.082,0.967
3.550,233.082,0.970
3.560,228.637,0.974
3.570,228.637,0.977
3.580,228.637,0.978
3.590,228.637,0.976
3.600,228.637,0.971
3.610,228.637,0.963
3.620,228.637,0.955
3.630,228.637,0.962
3.640,224.277,0.966
3.650,224.277,0.969
3.660,224.277,0.970
3.670,224.277,0.970
3.680,224.277,0.969
3.690,224.277,0.968
3.700,224.277,0.966
3.710,224.277,0.964
3.720,224.277,0.959
3.730,224.277,0.953
3.740,224.277,0.943
3.750,224.277,0.930
3.760,224.277,0.917
3.770,228.637,0.915
3.780,228.637,0.906
3.790,228.639,0.904
3.800,233.082,0.914
3.810,233.082,0.920
3.820,233.082,0.924
3.830,233.082,0.926
3.840,237.613,0.928
3.850,237.613,0.931
3.860,237.613,0.934
3.870,233.082,0.938
3.880,233.082,0.940
3.890,233.082,0.940
3.900,228.637,0.940
3.910,228.637,0.939
3.920,233.080,0.938
3.930,233.067,0.938
3.940,233.082,0.940
3.950,228.637,0.942
3.960,231.991,0.944
3.970,233.081,0.946
3.980,233.082,0.947
3.990,233.082,0.947
4.000,233.082,0.944
4.010,233.082,0.939
4.020,232.287,0.932
4.030,228.637,0.922
4.040,233.082,0.910
4.050,228.637,0.894
4.060,228.637,0.880
4.070,228.637,0.861
4.080,228.637,0.837
4.090,228.637,0.808
4.100,228.637,0.771
4.110,211.689,0.736
4.120,203.173,0.699
4.130,233.082,0.669
4.140,228.639,0.629
4.150,203.639,0.585
4.160,199.863,0.569
4.170,201.064,0.565
4.180,233.082,0.561
4.190,237.569,0.555
4.200,237.599,0.549
4.210,114.319,0.542
4.220,116.537,0.533
4.230,112.139,0.524
4.240,112.138,0.522
4.250,111.183,0.519
4.260,110.017,0.515
4.270,112.138,0.512
4.280,110.000,0.507
4.290,110.000,0.503
4.300,110.000,0.498
4.310,110.000,0.493
4.320,224.277,0.492
4.330,224.277,0.488
4.340,220.000,0.481
4.350,220.000,0.471
4.360,220.000,0.462
4.370,220.000,0.460
4.380,224.277,0.458
4.390,220.115,0.455
4.400,236.569,0.453
4.410,237.613,0.450
4.420,242.233,0.447
4.430,53.950,0.444
4.440,53.951,0.440
4.450,237.613,0.437
4.460,237.614,0.433
4.470,242.233,0.429
4.480,242.278,0.426
4.490,246.218,0.422
4.500,253.845,0.419
4.510,242.232,0.415
4.520,242.935,0.412
4.530,242.225,0.410
4.540,242.233,0.407
4.550,237.613,0.405
4.560,47.149,0.403
4.570,48.790,0.402
4.580,118.807,0.400
4.590,116.541,0.400
4.600,116.541,0.399
4.610,118.807,0.421
4.620,130.813,0.474
4.630,133.356,0.524
4.640,130.813,0.567
4.650,130.813,0.608
4.660,128.318,0.643
4.670,125.871,0.675
4.680,125.871,0.703
4.690,125.871,0.728
4.700,128.318,0.751
4.710,128.328,0.771
4.720,130.813,0.789
4.730,128.318,0.805
