time,frequency,confidence
0.000,44.106,0.000
0.020,45.278,0.001
0.040,46.263,0.004
0.060,47.423,0.008
0.080,48.199,0.014
0.100,48.932,0.021
0.120,49.286,0.030
0.140,49.431,0.038
0.160,39.096,0.049
0.180,40.459,0.060
0.200,44.805,0.072
0.220,47.189,0.083
0.240,48.562,0.096
0.260,42.577,0.108
0.280,47.233,0.121
0.300,49.975,0.133
0.320,48.037,0.145
0.340,51.409,0.158
0.360,48.159,0.171
0.380,73.291,0.186
0.400,234.312,0.200
0.420,229.241,0.215
0.440,118.808,0.230
0.460,118.807,0.245
0.480,116.541,0.259
0.500,116.541,0.273
0.520,70.643,0.286
0.540,49.952,0.299
0.560,1629.540,0.310
0.580,110.000,0.321
0.600,48.999,0.332
0.620,58.270,0.341
0.640,58.270,0.350
0.660,1396.909,0.358
0.680,51.279,0.366
0.700,50.923,0.373
0.720,57.159,0.379
0.740,121.116,0.385
0.760,135.948,0.472
0.780,135.949,0.585
0.800,135.158,0.672
0.820,133.356,0.739
0.840,135.948,0.791
0.860,138.898,0.830
0.880,141.189,0.862
0.900,135.948,0.889
0.920,135.948,0.909
0.940,133.356,0.923
0.960,130.813,0.930
0.980,130.813,0.933
1.000,128.318,0.932
1.020,128.318,0.927
1.040,128.318,0.919
1.060,128.318,0.909
1.080,128.318,0.895
1.100,128.318,0.878
1.120,130.813,0.858
1.140,133.356,0.866
1.160,135.948,0.881
1.180,135.948,0.901
1.200,135.948,0.919
1.220,135.948,0.930
1.240,135.948,0.933
1.260,138.591,0.931
1.280,135.948,0.924
1.300,135.951,0.911
1.320,138.591,0.892
1.340,145.884,0.868
1.360,149.530,0.840
1.380,149.687,0.855
1.400,152.597,0.866
1.420,152.597,0.871
1.440,152.597,0.871
1.460,149.687,0.867
1.480,149.687,0.857
1.500,149.687,0.842
1.520,149.687,0.822
1.540,149.687,0.795
1.560,149.686,0.761
1.580,184.997,0.774
1.600,199.497,0.835
1.620,199.808,0.878
1.640,199.048,0.908
1.660,195.998,0.936
1.680,192.295,0.952
1.700,192.260,0.956
1.720,192.260,0.952
1.740,188.594,0.964
1.760,188.594,0.970
1.780,184.998,0.970
1.800,188.452,0.966
1.820,188.594,0.957
1.840,188.594,0.941
1.860,192.260,0.949
1.880,192.260,0.958
1.900,192.260,0.962
1.920,192.260,0.963
1.940,192.260,0.964
1.960,192.260,0.964
1.980,192.260,0.964
2.000,192.260,0.963
2.020,188.594,0.961
2.040,188.658,0.960
2.060,192.260,0.958
2.080,192.260,0.954
2.100,192.260,0.946
2.120,192.564,0.934
2.140,195.998,0.945
2.160,195.998,0.950
2.180,195.998,0.949
2.200,195.998,0.942
2.220,195.998,0.929
2.240,195.998,0.910
2.260,195.998,0.883
2.280,192.260,0.846
2.300,184.997,0.799
2.320,184.983,0.739
2.340,184.997,0.664
2.360,184.997,0.584
2.380,178.009,0.553
2.400,182.710,0.557
2.420,178.009,0.568
2.440,164.814,0.577
2.460,168.018,0.586
2.480,170.843,0.593
2.500,168.601,0.600
2.520,168.018,0.607
2.540,174.502,0.612
2.560,168.018,0.617
2.580,179.877,0.621
2.600,57.157,0.625
2.620,118.807,0.629
2.640,120.589,0.632
2.660,118.807,0.671
2.680,120.296,0.724
2.700,123.455,0.766
2.720,123.471,0.798
2.740,121.116,0.822
2.760,121.116,0.841
2.780,121.116,0.855
2.800,118.807,0.864
2.820,118.807,0.867
2.840,121.116,0.866
2.860,121.116,0.861
2.880,123.432,0.850
2.900,128.317,0.845
2.920,130.813,0.855
2.940,133.356,0.872
2.960,135.590,0.882
2.980,135.948,0.884
3.000,135.948,0.883
3.020,135.948,0.914
3.040,138.591,0.913
3.060,138.591,0.888
3.080,138.591,0.871
3.100,138.591,0.852
3.120,135.951,0.826
3.140,138.591,0.793
3.160,441.651,0.753
3.180,168.018,0.762
3.200,168.019,0.814
3.220,174.614,0.851
3.240,174.614,0.876
3.260,174.614,0.889
3.280,174.614,0.894
3.300,174.614,0.893
3.320,171.284,0.883
3.340,171.284,0.863
3.360,171.284,0.834
3.380,174.614,0.794
3.400,200.699,0.766
3.420,207.652,0.820
3.440,211.689,0.865
3.460,220.000,0.909
3.480,228.637,0.937
3.500,233.082,0.962
3.520,233.082,0.972
3.540,233.082,0.967
3.560,228.637,0.974
3.580,228.637,0.978
3.600,228.637,0.971
3.620,228.637,0.955
3.640,224.277,0.966
3.660,224.277,0.970
3.680,224.277,0.969
3.700,224.277,0.966
3.720,224.277,0.959
3.740,224.277,0.943
3.760,224.277,0.917
3.780,228.637,0.906
3.800,233.082,0.914
3.820,233.082,0.924
3.840,237.613,0.928
3.860,237.613,0.934
3.880,233.082,0.940
3.900,228.637,0.940
3.920,233.080,0.938
3.940,233.082,0.940
3.960,231.991,0.944
3.980,233.082,0.947
4.000,233.082,0.944
4.020,232.287,0.932
4.040,233.082,0.910
4.060,228.637,0.880
4.080,228.637,0.837
4.100,228.637,0.771
4.120,203.173,0.699
4.140,228.639,0.629
4.160,199.863,0.569
4.180,233.082,0.561
4.200,237.599,0.549
4.220,116.537,0.533
4.240,112.138,0.522
4.260,110.017,0.515
4.280,110.000,0.507
4.300,110.000,0.498
4.320,224.277,0.492
4.340,220.000,0.481
4.360,220.000,0.462
4.380,224.277,0.458
4.400,236.569,0.453
4.420,242.233,0.447
4.440,53.951,0.440
4.460,237.614,0.433
4.480,242.278,0.426
4.500,253.845,0.419
4.520,242.935,0.412
4.540,242.233,0.407
4.560,47.149,0.403
4.580,118.807,0.400
4.600,116.541,0.399
4.620,130.813,0.474
4.640,130.813,0.567
4.660,128.318,0.643
4.680,125.871,0.703
4.700,128.318,0.751
4.720,130.813,0.789
4.740,130.732,0.820
4.760,128.318,0.844
4.780,125.871,0.863
4.800,125.871,0.876
4.820,123.471,0.883
4.840,125.871,0.885
4.860,125.871,0.882
4.880,128.318,0.873
4.900,128.318,0.858
4.920,125.871,0.836
4.940,118.806,0.815
4.960,114.319,0.825
4.980,114.319,0.829
5.000,114.319,0.827
5.020,114.319,0.825
5.040,112.138,0.822
5.060,112.138,0.816
5.080,112.138,0.805
5.100,114.319,0.791
5.120,125.871,0.789
5.140,124.220,0.818
5.160,123.471,0.838
5.180,123.471,0.851
5.200,123.471,0.859
5.220,123.471,0.861
5.240,125.871,0.859
5.260,125.871,0.850
5.280,125.871,0.836
5.300,125.871,0.815
5.320,125.874,0.788
5.340,128.318,0.753
5.360,143.965,0.766
5.380,144.032,0.797
5.400,144.091,0.827
5.420,144.032,0.848
5.440,144.032,0.865
5.460,141.286,0.879
5.480,138.591,0.885
5.500,135.948,0.883
5.520,135.948,0.877
5.540,138.591,0.868
5.560,141.286,0.854
5.580,146.832,0.871
5.600,146.837,0.890
5.620,146.832,0.900
5.640,144.032,0.904
5.660,141.286,0.905
5.680,141.286,0.904
5.700,141.286,0.903
5.720,141.286,0.902
5.740,144.032,0.903
5.760,144.032,0.905
5.780,144.032,0.906
5.800,144.032,0.905
5.820,146.809,0.902
5.840,146.832,0.896
5.860,144.032,0.886
5.880,141.295,0.873
5.900,144.032,0.876
5.920,141.286,0.870
5.940,141.286,0.854
5.960,138.591,0.845
5.980,138.470,0.844
6.000,135.948,0.842
6.020,142.256,0.842
6.040,146.832,0.846
6.060,141.286,0.855
6.080,138.591,0.865
6.100,138.591,0.873
6.120,138.591,0.878
6.140,138.591,0.878
6.160,138.591,0.889
6.180,141.286,0.896
6.200,141.286,0.901
6.220,144.032,0.903
6.240,144.032,0.902
6.260,144.032,0.899
6.280,144.032,0.895
6.300,144.032,0.890
6.320,143.848,0.882
6.340,141.286,0.872
6.360,141.286,0.859
6.380,144.032,0.842
6.400,144.032,0.819
6.420,171.005,0.794
6.440,171.959,0.837
6.460,174.614,0.867
6.480,178.009,0.888
6.500,178.009,0.907
6.520,181.469,0.915
6.540,181.469,0.912
6.560,178.009,0.898
6.580,178.009,0.890
6.600,171.284,0.872
6.620,171.284,0.843
6.640,171.284,0.822
6.660,177.986,0.789
6.680,415.305,0.756
6.700,181.469,0.771
6.720,171.355,0.795
6.740,181.469,0.814
6.760,181.469,0.846
6.780,178.009,0.873
6.800,174.614,0.892
6.820,171.284,0.901
6.840,168.018,0.899
6.860,171.284,0.890
6.880,171.484,0.886
6.900,178.009,0.908
6.920,181.469,0.929
6.940,181.469,0.945
6.960,184.997,0.954
6.980,181.469,0.956
7.000,181.469,0.951
7.020,181.469,0.944
7.040,178.009,0.938
7.060,178.009,0.937
7.080,181.469,0.940
7.100,181.469,0.943
7.120,184.997,0.944
7.140,184.997,0.941
7.160,181.469,0.936
7.180,178.009,0.927
7.200,178.009,0.914
7.220,181.469,0.893
7.240,184.997,0.869
7.260,188.593,0.891
7.280,188.594,0.910
7.300,188.594,0.916
7.320,188.594,0.910
7.340,185.038,0.892
7.360,184.997,0.863
7.380,184.123,0.822
7.400,177.543,0.768
7.420,184.997,0.701
7.440,181.469,0.641
7.460,184.997,0.609
7.480,181.469,0.573
7.500,184.997,0.558
7.520,181.469,0.565
7.540,181.469,0.574
7.560,187.433,0.578
7.580,181.469,0.573
7.600,174.614,0.557
7.620,178.008,0.529
7.640,174.614,0.501
7.660,177.968,0.517
7.680,792.030,0.532
7.700,42.004,0.545
7.720,42.004,0.558
7.740,42.004,0.569
7.760,41.917,0.580
7.780,45.367,0.589
7.800,45.367,0.598
7.820,46.249,0.606
7.840,110.081,0.613
7.860,107.902,0.618
7.880,53.951,0.624
7.900,114.357,0.629
7.920,114.305,0.634
7.940,38.149,0.639
7.960,181.469,0.643
7.980,181.470,0.661
8.000,178.009,0.742
8.020,177.989,0.799
8.040,174.614,0.835
8.060,174.644,0.860
8.080,178.009,0.876
8.100,174.614,0.898
8.120,168.018,0.909
8.140,164.814,0.911
8.160,164.814,0.903
8.180,168.018,0.886
8.200,171.284,0.878
8.220,178.009,0.891
8.240,178.009,0.905
8.260,178.009,0.915
8.280,178.009,0.920
8.300,178.009,0.917
8.320,178.009,0.910
8.340,178.009,0.899
8.360,178.009,0.882
8.380,177.848,0.858
8.400,174.606,0.827
8.420,161.688,0.790
8.440,178.009,0.756
8.460,164.816,0.784
8.480,149.685,0.818
8.500,146.832,0.845
8.520,146.832,0.864
8.540,144.032,0.878
8.560,144.030,0.887
8.580,141.286,0.890
8.600,141.286,0.887
8.620,144.032,0.878
8.640,144.032,0.864
8.660,144.032,0.845
8.680,135.948,0.818
8.700,133.356,0.786
8.720,118.807,0.776
8.740,118.807,0.795
8.760,116.541,0.809
8.780,116.541,0.818
8.800,116.541,0.822
8.820,116.541,0.823
8.840,116.541,0.819
8.860,118.807,0.815
8.880,118.807,0.811
8.900,121.116,0.805
8.920,121.116,0.801
8.940,123.471,0.809
8.960,123.471,0.815
8.980,125.511,0.817
9.000,125.871,0.816
9.020,125.864,0.813
9.040,123.471,0.810
9.060,123.471,0.807
9.080,121.116,0.805
9.100,121.116,0.803
9.120,121.116,0.801
9.140,123.471,0.797
9.160,123.471,0.792
9.180,125.871,0.786
9.200,125.871,0.798
9.220,125.871,0.802
9.240,125.871,0.800
9.260,123.471,0.793
9.280,123.471,0.780
9.300,121.116,0.764
9.320,121.116,0.744
9.340,118.807,0.720
